"","x"
"712",0.9708729572515
"713",0.965217215789634
"714",1.02130009693254
"715",1.04583878093634
"716",1.0259549208636
"717",1.03142977619485
"718",1.06044779471855
"719",1.08333159995471
"720",1.11097240153551
"721",1.10515159992611
"722",1.1019496425585
"723",1.10464753922249
"724",1.11267602752079
"725",1.12678521634832
"726",1.10222493539511
"727",1.1277635068481
"728",1.14878959386462
"729",1.14554590730226
"730",1.14832662650537
"731",1.15020192420663
"732",1.12319572611105
"733",1.11200602795489
"734",1.13702299020034
"735",1.18226639574921
"736",1.22637569026975
"737",1.25979387223231
"738",1.269117300514
"739",1.26007714826054
"740",1.25945177042476
"741",1.27388315994524
"742",1.28540565462227
"743",1.28850143947468
"744",1.32304334017935
"745",1.31370720256539
"746",1.31720304547361
"747",1.30005607536188
"748",1.23884102434029
"749",1.21060393655824
"750",1.17197212239647
"751",1.15638749530604
"752",1.11774641860854
"753",1.11490108358643
"754",1.13041461106422
"755",1.10527239665417
"756",1.07999098954354
"757",1.04301130434773
"758",1.07782209653272
"759",1.05162348601025
"760",1.02792128484986
"761",1.04778779341617
"762",1.091522077597
"763",1.09160907236272
"764",1.03530510916509
"765",0.978409216977439
"766",0.916142734061529
"767",0.880376844458594
"768",0.838488324462857
"769",0.79241275960257
"770",0.772546022252479
"771",0.751221853537944
"772",0.753023352815105
"773",0.721417333979512
"774",0.706197186561819
"775",0.680996892215395
"776",0.668160539791699
"777",0.674124911508924
"778",0.631876601062023
"779",0.61281409772198
"780",0.637264579667078
"781",0.62796470939686
"782",0.639665878015959
"783",0.663790896910279
"784",0.658718855500384
"785",0.649482277369808
"786",0.630551231450136
"787",0.627930665521419
"788",0.602569517742321
"789",0.579230838040428
"790",0.62209472585434
"791",0.687190768957028
"792",0.746536624546
"793",0.775995015172185
"794",0.779951808740555
"795",0.772315796840751
"796",0.749426474128274
"797",0.736255126050938
"798",0.713191250502005
"799",0.655521400993861
"800",0.658093411214132
"801",0.659022667299872
"802",0.634846593911551
"803",0.618343579089195
"804",0.640994814498991
"805",0.681074820367285
"806",0.69978280877695
"807",0.701377714010105
"808",0.707475560103764
"809",0.684693572071081
"810",0.687699892333681
"811",0.723850422769094
"812",0.750799670562835
"813",0.767633617855332
"814",0.765273428366156
"815",0.784981074205604
"816",0.742068335003456
"817",0.70884276203344
"818",0.663118258135768
"819",0.639676697607409
"820",0.645187609580398
"821",0.667377568150928
"822",0.657315891964158
"823",0.648170693094655
"824",0.633009567147389
"825",0.63454595904277
"826",0.661774086209938
"827",0.706157525469223
"828",0.711514719586182
"829",0.739387448910001
"830",0.747267721646286
"831",0.756463210699275
"832",0.772693346428848
"833",0.80338802644761
"834",0.851861300190152
"835",0.855118557861356
"836",0.83909572964131
"837",0.850838451076471
"838",0.910504942547911
"839",0.905612041515996
"840",0.926951258609943
"841",0.947450278779574
"842",0.981903779956627
"843",1.00336703334248
"844",1.03151650223069
"845",1.0399277595378
"846",1.04933991832662
"847",1.04921309865295
"848",1.04363249109759
"849",1.06009293235571
"850",1.08216385211823
"851",1.11968320704064
"852",1.16065372998899
"853",1.16777648696346
"854",1.19674494076105
"855",1.22191363395466
"856",1.19109596400667
"857",1.12955059916884
"858",1.10520517471862
"859",1.13037399145977
"860",1.14164941943632
"861",1.16087657077333
"862",1.20968897345194
"863",1.2389300013796
"864",1.23686333604165
"865",1.23372085979714
"866",1.22742883791967
"867",1.24998529494917
"868",1.27791416154686
"869",1.28929124712326
"870",1.31843059596551
"871",1.35655548379083
"872",1.38480224696281
"873",1.41526384180419
"874",1.46984660400329
"875",1.49856519351227
"876",1.51375560712515
"877",1.55808681174973
"878",1.56241180822753
"879",1.58037036016649
"880",1.60475572937134
"881",1.62417833702587
"882",1.61107535102823
"883",1.62558714151036
"884",1.61051426887083
"885",1.57760408815761
"886",1.57446792124298
"887",1.56073835010153
"888",1.55446843264694
"889",1.56480958839066
"890",1.57575880852986
"891",1.55141757282887
"892",1.54080425366992
"893",1.50719492344971
"894",1.45512170619344
"895",1.38824467254893
"896",1.3331583385522
"897",1.31032542865751
"898",1.23824422679435
"899",1.17239560221833
"900",1.11403455638899
"901",1.0753308477519
"902",1.02312916366138
"903",0.989282576817876
